Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Encryption Window Length
0.04000000000000000083,3714840,121616.0,116976.80847396102,0.1979,11,37
0.04000000000000000083,3723120,75811.0,73028.1746634311,0.1886,12,23
0.04000000000000000083,3731040,72639.0,69876.30316966196,0.2244,13,22
0.04000000000000000083,3741840,99038.0,95260.27759397976,0.2219,14,30
0.0500000000000000028,3600360,3259.0,3328.310319782197,0.0000,1,1
0.0500000000000000028,3611160,105614.0,100644.39151172334,0.2191,2,30
0.0500000000000000028,3616920,53241.0,50734.05218885933,0.2231,3,16
0.0500000000000000028,3623760,63194.0,60191.08292279795,0.2301,4,19
0.0500000000000000028,3632040,76383.0,72807.10586696208,0.2432,5,23
0.0500000000000000028,3643920,109702.0,104513.70023507893,0.2168,6,33
0.0500000000000000028,3653640,89827.0,85626.34914587079,0.2119,7,27
0.0500000000000000028,3662280,79971.0,76179.38421689202,0.2151,8,24
0.0500000000000000028,3673080,99876.0,95180.989037424,0.2489,9,30
0.0500000000000000028,3679920,63745.0,60820.23043077258,0.2372,10,19
0.0500000000000000028,3688560,80354.0,76550.87258569879,0.2313,11,24
0.0500000000000000028,3699360,99833.0,95295.47494047003,0.2190,12,30
0.0500000000000000028,3707640,76487.0,72886.4005338732,0.2515,13,23
0.0500000000000000028,3717360,89912.0,85681.0154992292,0.2476,14,27
0.0500000000000000028,3725280,73342.0,69864.56783576158,0.2326,15,22
0.0500000000000000028,3733200,73253.0,69874.01857590806,0.2368,16,22
0.0599999999999999978,3600360,3259.0,3328.310319782197,0.0000,1,1
0.0599999999999999978,3609360,89441.0,84470.22728174589,0.2429,2,25
0.0599999999999999978,3615120,54129.0,51147.30330878538,0.2401,3,16
0.0599999999999999978,3622680,70618.0,66622.19490981796,0.2431,4,21
0.0599999999999999978,3631680,83807.0,79197.14146405102,0.2464,5,25
0.0599999999999999978,3642840,104012.0,98247.74591715707,0.2361,6,31
0.0599999999999999978,3649680,63769.0,60315.503483864544,0.2555,7,19
0.0599999999999999978,3658320,80587.0,76193.62397642796,0.2479,8,24
0.0599999999999999978,3666960,80749.0,76186.07197983857,0.2518,9,24
0.0599999999999999978,3674880,74223.0,70121.82782959242,0.2401,10,22
0.0599999999999999978,3682440,70943.0,66995.80961104395,0.2510,11,21
0.0599999999999999978,3690000,70673.0,66720.41888468491,0.2415,12,21
0.0599999999999999978,3697200,67191.0,63536.51472904371,0.2514,13,20
0.0599999999999999978,3703320,57237.0,54011.39452234473,0.2468,14,17
0.0599999999999999978,3710520,66970.0,63246.46111366109,0.2536,15,20
0.0599999999999999978,3720960,97365.0,92048.46107257178,0.2458,16,29
0.0599999999999999978,3728520,70681.0,66681.87146145011,0.2371,17,21
0.0599999999999999978,3735720,67267.0,63511.91557729677,0.2405,18,20
0.07000000000000000666,3600360,3259.0,3328.310319782197,0.0000,1,1
0.07000000000000000666,3607560,72758.0,68040.27374992089,0.2633,2,20
0.07000000000000000666,3613320,54769.0,51286.25126363826,0.2631,3,16
0.07000000000000000666,3619800,61062.0,57128.69448955578,0.2751,4,18
0.07000000000000000666,3622320,23787.0,22247.131515554713,0.2555,5,7
0.07000000000000000666,3628440,57718.0,53959.32982715023,0.2654,6,17
0.07000000000000000666,3635280,64453.0,60259.84368554906,0.2715,7,19
0.07000000000000000666,3639240,37190.0,34806.43495430559,0.2536,8,11
0.07000000000000000666,3646800,71305.0,66690.41330094771,0.2523,9,21
0.07000000000000000666,3650760,37340.0,34952.46784978588,0.2562,10,11
0.07000000000000000666,3658320,71188.0,66706.73709786337,0.2562,11,21
0.07000000000000000666,3665160,64476.0,60341.25369335484,0.2677,12,19
0.07000000000000000666,3672360,67858.0,63521.02137991256,0.2683,13,20
0.07000000000000000666,3677760,51362.0,48028.04036584867,0.2596,14,15
0.07000000000000000666,3683160,51192.0,47850.66636736123,0.2726,15,15
0.07000000000000000666,3688920,54373.0,50841.793600006546,0.2557,16,16
0.07000000000000000666,3696120,67905.0,63529.94238927087,0.2612,17,20
0.07000000000000000666,3701160,47485.0,44478.57119203729,0.2687,18,14
0.07000000000000000666,3710160,84572.0,79129.52744315863,0.2635,19,25
0.07000000000000000666,3719880,91464.0,85690.14858667296,0.2645,20,27
0.07000000000000000666,3726360,61042.0,57152.475942476725,0.2568,21,18
0.07000000000000000666,3733560,67907.0,63502.50861864472,0.2562,22,20
0.07000000000000000666,3741120,71311.0,66671.86745772779,0.2590,23,21
0.08000000000000000167,3600360,3259.0,3328.310319782197,0.0000,1,1
0.08000000000000000167,3606120,58968.0,54717.20426203089,0.2773,2,16
0.08000000000000000167,3611520,52040.0,48257.03919776483,0.2710,3,15
0.08000000000000000167,3612960,13762.0,12755.030931761088,0.2138,4,4
0.08000000000000000167,3618360,51510.0,47698.3979774149,0.2810,5,15
0.08000000000000000167,3620880,24031.0,22259.03394589601,0.2690,6,7
0.08000000000000000167,3625200,41179.0,38132.26751794862,0.2712,7,12
0.08000000000000000167,3629880,44513.0,41283.3466330732,0.2786,8,13
0.08000000000000000167,3636360,61679.0,57119.18742575392,0.2898,9,18
0.08000000000000000167,3639600,30707.0,28481.357866172,0.2711,10,9
0.08000000000000000167,3645000,51406.0,47658.335309438786,0.2626,11,15
0.08000000000000000167,3648600,34212.0,31779.30420252913,0.2723,12,10
0.08000000000000000167,3653640,47996.0,44473.45793545176,0.2879,13,14
0.08000000000000000167,3658320,44551.0,41304.77381193428,0.2677,14,13
0.08000000000000000167,3663360,47986.0,44474.38885984992,0.2840,15,14
0.08000000000000000167,3671640,78722.0,73046.14768734382,0.2754,16,23
0.08000000000000000167,3675600,37990.0,35219.18641835414,0.2787,17,11
0.08000000000000000167,3681000,51642.0,47848.823280158635,0.2695,18,15
0.08000000000000000167,3685320,41315.0,38271.27967129356,0.2773,19,12
0.08000000000000000167,3688560,30832.0,28597.94053157929,0.2660,20,9
0.08000000000000000167,3695040,61679.0,57171.027176724834,0.2710,21,18
0.08000000000000000167,3696840,17126.0,15884.965029624746,0.2607,22,5
0.08000000000000000167,3701160,41113.0,38120.11611097456,0.2722,23,12
0.08000000000000000167,3708720,71737.0,66481.71524122385,0.2798,24,21
0.08000000000000000167,3715920,68478.0,63459.928475336186,0.2858,25,20
0.08000000000000000167,3719160,30823.0,28575.670404921857,0.2552,26,9
