Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Black Box Age
0,3600360,2524.0,2866.8968950528997,0.0000,1,1
0,3611520,92458.0,92580.42911128365,0.2200,2,31
0,3621600,83796.0,83920.66323972543,0.2877,3,28
0,3633840,101964.0,102021.36872901251,0.2660,4,34
0,3645720,99004.0,99154.80494961583,0.2631,5,33
0,3654000,69017.0,69192.00013635895,0.2766,6,23
0,3662640,72131.0,72256.2158649586,0.2881,7,24
0,3673080,87381.0,87398.31003548132,0.2674,8,29
0,3682440,78333.0,78442.03754755578,0.2658,9,26
0,3690360,66434.0,66434.86343296155,0.2619,10,22
0,3693600,26609.0,27234.059422905702,0.2377,11,9
0,3693960,2818.0,3032.2439374750575,0.0000,12,1
0,3695760,14936.0,15119.627329735562,0.2561,13,5
0,3696480,5208.0,6085.3040213381455,0.4696,14,2
0,3696840,2748.0,3035.944542561575,0.0000,15,1
0,3697200,2965.0,3025.7253755889114,0.0000,16,1
0,3698280,9064.0,9068.915380887765,0.2840,17,3
0,3704760,54312.0,54439.50368891485,0.2710,18,18
0,3713040,69478.0,69591.2700912759,0.2548,19,23
0,3737520,153571.0,153576.45193667954,0.5298,20,68
0.0100000000000000002,3600360,2524.0,2866.8968950528997,0.0000,1,1
0.0100000000000000002,3611520,92458.0,92580.42911128365,0.2200,2,31
0.0100000000000000002,3621600,83796.0,83920.66323972543,0.2877,3,28
0.0100000000000000002,3633840,101964.0,102021.36872901251,0.2660,4,34
0.0100000000000000002,3645720,99004.0,99154.80494961583,0.2631,5,33
0.0100000000000000002,3654000,69017.0,69192.00013635895,0.2766,6,23
0.0100000000000000002,3662640,72131.0,72256.2158649586,0.2881,7,24
0.0100000000000000002,3673080,87381.0,87398.31003548132,0.2674,8,29
0.0100000000000000002,3682440,78333.0,78442.03754755578,0.2658,9,26
0.0100000000000000002,3690360,66434.0,66434.86343296155,0.2619,10,22
0.0100000000000000002,3693600,26609.0,27234.059422905702,0.2377,11,9
0.0100000000000000002,3693960,2818.0,3032.2439374750575,0.0000,12,1
0.0100000000000000002,3695760,14936.0,15119.627329735562,0.2561,13,5
0.0100000000000000002,3696480,5208.0,6085.3040213381455,0.4696,14,2
0.0100000000000000002,3696840,2748.0,3035.944542561575,0.0000,15,1
0.0100000000000000002,3697200,2965.0,3025.7253755889114,0.0000,16,1
0.0100000000000000002,3698280,9064.0,9068.915380887765,0.2840,17,3
0.0100000000000000002,3704760,54312.0,54439.50368891485,0.2710,18,18
0.0100000000000000002,3713040,69478.0,69591.2700912759,0.2548,19,23
0.0100000000000000002,3737520,153571.0,153576.45193667954,0.5298,20,68
0.0200000000000000004,3600360,2524.0,2866.8968950528997,0.0000,1,1
0.0200000000000000004,3611520,92458.0,92580.42911128365,0.2200,2,31
0.0200000000000000004,3621600,83796.0,83920.66323972543,0.2877,3,28
0.0200000000000000004,3633840,101964.0,102021.36872901251,0.2660,4,34
0.0200000000000000004,3645360,96164.0,96145.47167324628,0.2465,5,32
0.0200000000000000004,3654000,72178.0,72189.00217697359,0.2649,6,24
0.0200000000000000004,3662640,72140.0,72255.67592126521,0.2858,7,24
0.0200000000000000004,3673080,87381.0,87398.28996643327,0.2674,8,29
0.0200000000000000004,3682440,78333.0,78442.02476653214,0.2658,9,26
0.0200000000000000004,3690360,66434.0,66434.8531786437,0.2619,10,22
0.0200000000000000004,3693600,26609.0,27234.055363050797,0.2377,11,9
0.0200000000000000004,3693960,2818.0,3032.243534445127,0.0000,12,1
0.0200000000000000004,3695760,14936.0,15119.625334695162,0.2561,13,5
0.0200000000000000004,3696480,5208.0,6085.303221556235,0.4696,14,2
0.0200000000000000004,3696840,2748.0,3035.944144732656,0.0000,15,1
0.0200000000000000004,3697200,2965.0,3025.7249799851193,0.0000,16,1
0.0200000000000000004,3698280,9064.0,9068.914195692088,0.2841,17,3
0.0200000000000000004,3704400,51417.0,51410.67056364547,0.2494,18,17
0.0200000000000000004,3712680,69580.0,69584.57853421895,0.2624,19,23
0.0200000000000000004,3737520,156432.0,156593.34987830406,0.5495,20,69
0.0299999999999999989,3600360,2524.0,2866.8968950528997,0.0000,1,1
0.0299999999999999989,3611160,89617.0,89590.21788056655,0.2014,2,30
0.0299999999999999989,3620880,80923.0,80917.51439737162,0.2789,3,27
0.0299999999999999989,3633480,104910.0,105013.08587590644,0.2642,4,35
0.0299999999999999989,3645000,96107.0,96143.9629137196,0.2605,5,32
0.0299999999999999989,3654360,78028.0,78206.78626519263,0.2711,6,26
0.0299999999999999989,3663720,78241.0,78270.74201905984,0.2974,7,26
0.0299999999999999989,3672360,72231.0,72346.16223599993,0.2719,8,24
0.0299999999999999989,3681000,72411.0,72403.3735444824,0.2645,9,24
0.0299999999999999989,3690360,78404.0,78503.38384976338,0.2686,10,26
0.0299999999999999989,3693600,26600.0,27233.912457480124,0.2391,11,9
0.0299999999999999989,3693960,2818.0,3032.237517285953,0.0000,12,1
0.0299999999999999989,3695760,14936.0,15119.60859964128,0.2560,13,5
0.0299999999999999989,3696480,5208.0,6085.296771838131,0.4696,14,2
0.0299999999999999989,3696840,2748.0,3035.9409378714467,0.0000,15,1
