Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Black Box Age
0,3600360,3259.0,3328.310319782197,0.0000,1,1
0,3620880,183687.0,183713.25044868942,0.2718,2,57
0,3641400,176906.0,177087.8621077477,0.2792,3,57
0,3656160,128950.0,128998.75493050591,0.3108,4,41
0,3675960,173386.0,173393.539304716,0.2458,5,55
0,3694320,161721.0,161936.06841490662,0.2699,6,51
0,3709800,136043.0,136074.57582531203,0.2490,7,43
0,3730320,180516.0,180604.64422491202,0.2744,8,57
0.0100000000000000002,3600360,3259.0,3328.310319782197,0.0000,1,1
0.0100000000000000002,3620880,183687.0,183713.25044868942,0.2718,2,57
0.0100000000000000002,3641040,174094.0,174077.48160150368,0.2680,3,56
0.0100000000000000002,3657240,141376.0,141465.97961130308,0.3114,4,45
0.0100000000000000002,3677400,176313.0,176503.98709435013,0.2664,5,56
0.0100000000000000002,3695760,161904.0,161949.26872950082,0.2614,6,51
0.0100000000000000002,3713040,151475.0,151722.2930384465,0.2604,7,48
0.0100000000000000002,3730320,151854.0,152157.68020344363,0.2695,8,48
0.0200000000000000004,3600360,3259.0,3328.310319782197,0.0000,1,1
0.0200000000000000004,3620880,183687.0,183713.25044868942,0.2718,2,57
0.0200000000000000004,3641040,174094.0,174077.48160150368,0.2680,3,56
0.0200000000000000004,3657240,141376.0,141465.97961130308,0.3114,4,45
0.0200000000000000004,3677400,176313.0,176503.98709435013,0.2664,5,56
0.0200000000000000004,3695760,161904.0,161949.26872950082,0.2614,6,51
0.0200000000000000004,3712680,148615.0,148587.4768197408,0.2473,7,47
0.0200000000000000004,3730680,158167.0,158486.34421313653,0.2697,8,50
0.0299999999999999989,3600360,3259.0,3328.310319782197,0.0000,1,1
0.0299999999999999989,3620880,183687.0,183713.25044868942,0.2718,2,57
0.0299999999999999989,3641040,174094.0,174077.48160150368,0.2680,3,56
0.0299999999999999989,3656880,138410.0,138370.71559281688,0.2973,4,44
0.0299999999999999989,3674880,157658.0,157702.77037198783,0.2455,5,50
0.0299999999999999989,3693600,164927.0,165154.86252003687,0.2666,6,52
0.0299999999999999989,3708720,132741.0,132958.06454607943,0.2690,7,42
0.0299999999999999989,3729240,180344.0,180540.52429226568,0.2732,8,57
0.04000000000000000083,3600360,3259.0,3328.310319782197,0.0000,1,1
0.04000000000000000083,3620880,183687.0,183713.25044868942,0.2718,2,57
0.04000000000000000083,3641040,174094.0,174077.48160150368,0.2680,3,56
0.04000000000000000083,3656880,138410.0,138370.71559281688,0.2973,4,44
0.04000000000000000083,3674880,157658.0,157702.77037198783,0.2455,5,50
0.04000000000000000083,3693240,162059.0,162006.02045492746,0.2543,6,51
0.04000000000000000083,3708360,132908.0,132981.4056890956,0.2658,7,42
0.04000000000000000083,3727080,164610.0,164731.09386240275,0.2741,8,52
0.0500000000000000028,3600360,3259.0,3328.310319782197,0.0000,1,1
0.0500000000000000028,3620880,183687.0,183713.25044868942,0.2718,2,57
0.0500000000000000028,3641040,174094.0,174077.48160150368,0.2680,3,56
0.0500000000000000028,3656880,138410.0,138370.71559281688,0.2973,4,44
0.0500000000000000028,3674880,157658.0,157702.77037198783,0.2455,5,50
0.0500000000000000028,3693240,162059.0,162006.02045492746,0.2543,6,51
0.0500000000000000028,3708360,132908.0,132981.4056890956,0.2658,7,42
0.0500000000000000028,3727080,164610.0,164731.09386240275,0.2741,8,52
0.0599999999999999978,3600360,3259.0,3328.310319782197,0.0000,1,1
