Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Black Box Age
0,3621960,173454.0,173991.4890301805,0.2664,1,61
0,3647520,211796.0,212164.0190868528,0.2572,2,71
0,3649680,17893.0,17972.699850405435,0.2596,3,6
0,3679200,242625.0,245741.9139908168,0.2925,4,82
0,3709440,237235.0,239674.1722826679,0.3015,5,84
0,3741840,254464.0,256795.4015804925,0.3122,6,90
0.0100000000000000002,3621960,173454.0,173991.4890301805,0.2664,1,61
0.0100000000000000002,3647520,211796.0,212164.0190868528,0.2572,2,71
0.0100000000000000002,3649680,17893.0,17972.699850405435,0.2596,3,6
0.0100000000000000002,3678840,242625.0,242603.72592011996,0.2908,4,81
0.0100000000000000002,3706920,221722.0,222479.22466455476,0.1914,5,78
0.0100000000000000002,3735720,228046.0,228164.24113848186,0.1475,6,80
0.0200000000000000004,3621600,171139.0,171115.431799504,0.2558,1,60
0.0200000000000000004,3647160,212130.0,212148.64021875555,0.2521,2,71
0.0200000000000000004,3649680,20719.0,20975.656000199626,0.2966,3,7
0.0200000000000000004,3678840,242389.0,242614.49624916044,0.2935,4,81
0.0200000000000000004,3706920,221722.0,222479.27545313223,0.1914,5,78
0.0200000000000000004,3735720,228046.0,228164.24652916662,0.1475,6,80
0.0299999999999999989,3621600,171139.0,171115.431799504,0.2558,1,60
0.0299999999999999989,3647160,212130.0,212148.64021875555,0.2521,2,71
0.0299999999999999989,3649680,20719.0,20975.656000199626,0.2966,3,7
0.0299999999999999989,3678840,242389.0,242614.49624916044,0.2935,4,81
0.0299999999999999989,3706920,221722.0,222479.27545313223,0.1914,5,78
0.0299999999999999989,3735720,228046.0,228164.24652916662,0.1475,6,80
0.04000000000000000083,3621600,171139.0,171115.431799504,0.2558,1,60
0.04000000000000000083,3647160,212130.0,212148.64021875555,0.2521,2,71
0.04000000000000000083,3649680,20719.0,20975.656000199626,0.2966,3,7
0.04000000000000000083,3678840,242389.0,242614.49624916044,0.2935,4,81
0.04000000000000000083,3706920,221722.0,222479.27545313223,0.1914,5,78
0.04000000000000000083,3735720,228046.0,228164.24652916662,0.1475,6,80
0.0500000000000000028,3621600,171139.0,171115.431799504,0.2558,1,60
0.0500000000000000028,3647160,212130.0,212148.64021875555,0.2521,2,71
0.0500000000000000028,3649680,20719.0,20975.656000199626,0.2966,3,7
0.0500000000000000028,3678840,242389.0,242614.49624916044,0.2935,4,81
0.0500000000000000028,3706920,221722.0,222479.27545313223,0.1914,5,78
0.0500000000000000028,3735720,228046.0,228164.24652916662,0.1475,6,80
0.0599999999999999978,3621600,171139.0,171115.431799504,0.2558,1,60
0.0599999999999999978,3647160,212130.0,212148.64021875555,0.2521,2,71
0.0599999999999999978,3649680,20719.0,20975.656000199626,0.2966,3,7
0.0599999999999999978,3678840,242389.0,242614.49624916044,0.2935,4,81
0.0599999999999999978,3706920,221722.0,222479.27545313223,0.1914,5,78
0.0599999999999999978,3735720,228046.0,228164.24652916662,0.1475,6,80
0.07000000000000000666,3621600,171139.0,171115.431799504,0.2558,1,60
0.07000000000000000666,3647160,212130.0,212148.64021875555,0.2521,2,71
0.07000000000000000666,3649680,20719.0,20975.656000199626,0.2966,3,7
0.07000000000000000666,3678840,242389.0,242614.49624916044,0.2935,4,81
0.07000000000000000666,3706920,221722.0,222479.27545313223,0.1914,5,78
0.07000000000000000666,3735720,228046.0,228164.24652916662,0.1475,6,80
0.08000000000000000167,3621600,171139.0,171115.431799504,0.2558,1,60
0.08000000000000000167,3647160,212130.0,212148.64021875555,0.2521,2,71
0.08000000000000000167,3649680,20719.0,20975.656000199626,0.2966,3,7
0.08000000000000000167,3678840,242389.0,242614.49624916044,0.2935,4,81
0.08000000000000000167,3706920,221722.0,222479.27545313223,0.1914,5,78
0.08000000000000000167,3735720,228046.0,228164.24652916662,0.1475,6,80
0.08999999999999999667,3621600,171139.0,171115.431799504,0.2558,1,60
0.08999999999999999667,3647160,212130.0,212148.64021875555,0.2521,2,71
0.08999999999999999667,3649680,20719.0,20975.656000199626,0.2966,3,7
0.08999999999999999667,3678840,242389.0,242614.49624916044,0.2935,4,81
0.08999999999999999667,3706920,221722.0,222479.27545313223,0.1914,5,78
0.08999999999999999667,3735720,228046.0,228164.24652916662,0.1475,6,80
