Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Black Box Age
0,3600360,2469.0,2869.6921293736755,0.0000,1,1
0,3630240,246942.0,248019.54664910206,0.3286,2,83
0,3630600,2553.0,2872.8680814947024,0.0000,3,1
0,3659760,240896.0,242579.0382630735,0.2408,4,81
0,3660120,2553.0,2879.24539004557,0.0000,5,1
0,3663000,23918.0,24017.600291837156,0.3111,6,8
0,3664440,11772.0,12040.52720736033,0.2694,7,4
0,3677760,111208.0,111275.05374926642,0.2645,8,37
0,3705840,233981.0,234650.06480429982,0.2345,9,78
0,3706200,2695.0,2879.5784051579376,0.0000,10,1
0,3722400,135114.0,135342.87060237146,0.2783,11,45
0,3738960,138669.0,138760.73216080797,0.2696,12,46
0.0100000000000000002,3600360,2469.0,2869.6921293736755,0.0000,1,1
0.0100000000000000002,3630240,246942.0,248019.54664910206,0.3286,2,83
0.0100000000000000002,3630600,2553.0,2872.8680814947024,0.0000,3,1
0.0100000000000000002,3659760,240896.0,242579.0382630735,0.2408,4,81
0.0100000000000000002,3660120,2553.0,2879.24539004557,0.0000,5,1
0.0100000000000000002,3663000,23918.0,24017.600291837156,0.3111,6,8
0.0100000000000000002,3664440,11772.0,12040.52720736033,0.2694,7,4
0.0100000000000000002,3677760,111208.0,111275.05374926642,0.2645,8,37
0.0100000000000000002,3705840,233981.0,234650.06480429982,0.2345,9,78
0.0100000000000000002,3706200,2695.0,2879.5784051579376,0.0000,10,1
0.0100000000000000002,3722400,135114.0,135342.87060237146,0.2783,11,45
0.0100000000000000002,3738960,138669.0,138760.73216080797,0.2696,12,46
0.0200000000000000004,3600360,2469.0,2869.6921293736755,0.0000,1,1
0.0200000000000000004,3630240,246942.0,248019.54664910206,0.3286,2,83
0.0200000000000000004,3630600,2553.0,2872.8680814947024,0.0000,3,1
0.0200000000000000004,3659760,240896.0,242579.0382630735,0.2408,4,81
0.0200000000000000004,3660120,2553.0,2879.24539004557,0.0000,5,1
0.0200000000000000004,3663000,23918.0,24017.600291837156,0.3111,6,8
0.0200000000000000004,3664440,11772.0,12040.52720736033,0.2694,7,4
0.0200000000000000004,3677760,111208.0,111275.05374926642,0.2645,8,37
0.0200000000000000004,3705840,233981.0,234650.06480429982,0.2345,9,78
0.0200000000000000004,3706200,2695.0,2879.5784051579376,0.0000,10,1
0.0200000000000000004,3722400,135114.0,135342.87060237146,0.2783,11,45
0.0200000000000000004,3738960,138669.0,138760.73216080797,0.2696,12,46
0.0299999999999999989,3600360,2469.0,2869.6921293736755,0.0000,1,1
0.0299999999999999989,3630240,246942.0,248019.54664910206,0.3286,2,83
0.0299999999999999989,3630600,2553.0,2872.8680814947024,0.0000,3,1
0.0299999999999999989,3659760,240896.0,242579.0382630735,0.2408,4,81
0.0299999999999999989,3660120,2553.0,2879.24539004557,0.0000,5,1
0.0299999999999999989,3663000,23918.0,24017.600291837156,0.3111,6,8
0.0299999999999999989,3664440,11772.0,12040.52720736033,0.2694,7,4
0.0299999999999999989,3677760,111208.0,111275.05374926642,0.2645,8,37
0.0299999999999999989,3705840,233981.0,234650.06480429982,0.2345,9,78
0.0299999999999999989,3706200,2695.0,2879.5784051579376,0.0000,10,1
0.0299999999999999989,3722400,135114.0,135342.87060237146,0.2783,11,45
0.0299999999999999989,3738960,138669.0,138760.73216080797,0.2696,12,46
0.04000000000000000083,3600360,2469.0,2869.6921293736755,0.0000,1,1
0.04000000000000000083,3630240,246942.0,248019.54664910206,0.3286,2,83
0.04000000000000000083,3630600,2553.0,2872.8680814947024,0.0000,3,1
0.04000000000000000083,3659760,240896.0,242579.0382630735,0.2408,4,81
0.04000000000000000083,3660120,2553.0,2879.24539004557,0.0000,5,1
0.04000000000000000083,3663000,23918.0,24017.600291837156,0.3111,6,8
0.04000000000000000083,3664440,11772.0,12040.52720736033,0.2694,7,4
0.04000000000000000083,3677760,111208.0,111275.05374926642,0.2645,8,37
0.04000000000000000083,3705840,233981.0,234650.06480429982,0.2345,9,78
0.04000000000000000083,3706200,2695.0,2879.5784051579376,0.0000,10,1
0.04000000000000000083,3722040,132368.0,132325.39929532493,0.2648,11,44
0.04000000000000000083,3739320,144705.0,144791.28887302117,0.2587,12,48
0.0500000000000000028,3600360,2469.0,2869.6921293736755,0.0000,1,1
0.0500000000000000028,3630240,246942.0,248019.54664910206,0.3286,2,83
0.0500000000000000028,3630600,2553.0,2872.8680814947024,0.0000,3,1
0.0500000000000000028,3659760,240896.0,242579.0382630735,0.2408,4,81
0.0500000000000000028,3660120,2553.0,2879.24539004557,0.0000,5,1
0.0500000000000000028,3663000,23918.0,24017.600291837156,0.3111,6,8
0.0500000000000000028,3664440,11772.0,12040.52720736033,0.2694,7,4
0.0500000000000000028,3677760,111208.0,111275.05374926642,0.2645,8,37
0.0500000000000000028,3705840,233981.0,234650.06480429982,0.2345,9,78
0.0500000000000000028,3706200,2695.0,2879.5784051579376,0.0000,10,1
0.0500000000000000028,3722040,132368.0,132325.39929532493,0.2648,11,44
0.0500000000000000028,3739320,144705.0,144791.28887302117,0.2587,12,48
0.0599999999999999978,3600360,2469.0,2869.6921293736755,0.0000,1,1
0.0599999999999999978,3630240,246942.0,248019.54664910206,0.3286,2,83
0.0599999999999999978,3630600,2553.0,2872.8680814947024,0.0000,3,1
0.0599999999999999978,3659760,240896.0,242579.0382630735,0.2408,4,81
0.0599999999999999978,3660120,2553.0,2879.24539004557,0.0000,5,1
0.0599999999999999978,3663000,23918.0,24017.600291837156,0.3111,6,8
0.0599999999999999978,3664440,11772.0,12040.52720736033,0.2694,7,4
0.0599999999999999978,3677760,111208.0,111275.05374926642,0.2645,8,37
0.0599999999999999978,3705840,233981.0,234650.06480429982,0.2345,9,78
0.0599999999999999978,3706200,2695.0,2879.5784051579376,0.0000,10,1
0.0599999999999999978,3722040,132368.0,132325.39929532493,0.2648,11,44
0.0599999999999999978,3739320,144705.0,144791.28887302117,0.2587,12,48
0.07000000000000000666,3600360,2469.0,2869.6921293736755,0.0000,1,1
0.07000000000000000666,3630240,246942.0,248019.54664910206,0.3286,2,83
0.07000000000000000666,3630600,2553.0,2872.8680814947024,0.0000,3,1
0.07000000000000000666,3659760,240896.0,242579.0382630735,0.2408,4,81
0.07000000000000000666,3660120,2553.0,2879.24539004557,0.0000,5,1
0.07000000000000000666,3663000,23918.0,24017.600291837156,0.3111,6,8
0.07000000000000000666,3664440,11772.0,12040.52720736033,0.2694,7,4
0.07000000000000000666,3677760,111208.0,111275.05374926642,0.2645,8,37
0.07000000000000000666,3705840,233981.0,234650.06480429982,0.2345,9,78
0.07000000000000000666,3706200,2695.0,2879.5784051579376,0.0000,10,1
0.07000000000000000666,3722040,132368.0,132325.39929532493,0.2648,11,44
0.07000000000000000666,3739320,144705.0,144791.28887302117,0.2587,12,48
