Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Encryption Window Length
0,3600360,2829.0,2846.9181515169917,0.0000,1,1
0,3620880,166742.0,166771.9540982193,0.2732,2,57
0,3641040,172650.0,172708.2837763428,0.2752,3,56
0,3656880,138094.0,138120.03681100777,0.3081,4,44
0,3674880,157434.0,157500.22579181197,0.2479,5,50
0,3693240,161870.0,161881.59729582173,0.2605,6,51
0,3708360,132793.0,132879.60060652898,0.2671,7,42
0,3727080,164487.0,164695.58470734357,0.2811,8,52
0.0100000000000000002,3600360,2829.0,2846.9181515169917,0.0000,1,1
0.0100000000000000002,3618360,149331.0,147893.90554977427,0.2075,2,50
0.0100000000000000002,3630600,106570.0,105639.66176313472,0.1976,3,34
0.0100000000000000002,3651120,179742.0,178175.89524480104,0.2018,4,57
0.0100000000000000002,3651480,3391.0,3384.519982171591,0.0000,5,1
0.0100000000000000002,3668040,146744.0,145302.7508019734,0.1960,6,46
0.0100000000000000002,3682440,128060.0,126963.02816090938,0.2041,7,40
0.0100000000000000002,3697920,137445.0,136371.03279327913,0.2111,8,43
0.0100000000000000002,3698280,3386.0,3464.0811956774883,0.0000,9,1
0.0100000000000000002,3712680,127693.0,126592.59788867716,0.2032,10,40
0.0100000000000000002,3728880,143930.0,142790.82585821874,0.2185,11,45
0.0100000000000000002,3729240,3413.0,3461.160514232475,0.0000,12,1
0.0200000000000000004,3600360,2829.0,2846.9181515169917,0.0000,1,1
0.0200000000000000004,3616200,133973.0,131395.93723876268,0.1859,2,44
0.0200000000000000004,3627000,95282.0,93491.5893913717,0.1912,3,30
0.0200000000000000004,3647160,178462.0,175052.4028096006,0.1783,4,56
0.0200000000000000004,3660120,115823.0,113621.82642775806,0.1885,5,36
0.0200000000000000004,3675960,141840.0,139124.94228156353,0.1864,6,44
0.0200000000000000004,3690360,129606.0,127203.64531560942,0.1877,7,40
0.0200000000000000004,3703320,116396.0,114318.8983463444,0.2024,8,36
0.0200000000000000004,3703680,3367.0,3385.4281395885414,0.0000,9,1
0.0200000000000000004,3720240,147903.0,145245.44688245107,0.1737,10,46
0.0200000000000000004,3720600,3421.0,3418.8682753944745,0.0000,11,1
0.0200000000000000004,3732480,106863.0,104821.31470541377,0.1754,12,33
