Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Encryption Window Length
0,3600360,2554.0,2865.4580567298103,0.0000,1,1
0,3600720,3151.0,3291.956473312268,0.0000,2,1
0,3617640,140754.0,140823.96650866533,0.2471,3,47
0,3640680,191498.0,191899.37068970702,0.2417,4,64
0,3641040,3134.0,3398.31698827539,0.0000,5,1
0,3641400,3237.0,3256.923626717826,0.0000,6,1
0,3657240,131932.0,132133.74686732865,0.2447,7,44
0,3657600,3177.0,3201.2066707279882,0.0000,8,1
0,3667680,84192.0,84222.88240977196,0.3247,9,28
0,3682800,126153.0,126394.59391491475,0.2813,10,42
0,3683160,3177.0,3246.138123611021,0.0000,11,1
0,3701160,150440.0,150635.09548812098,0.2697,12,50
0,3701520,3105.0,3205.6424058681464,0.0000,13,1
0,3705840,36197.0,36278.63563872478,0.3459,14,12
0,3726000,168727.0,168890.23382647344,0.2859,15,56
0,3742200,135803.0,135966.92357362012,0.2809,16,45
0.0100000000000000002,3600360,2554.0,2865.4580567298103,0.0000,1,1
0.0100000000000000002,3600720,3151.0,3320.611053879566,0.0000,2,1
0.0100000000000000002,3614040,111971.0,110919.10457989362,0.1394,3,37
0.0100000000000000002,3641040,226671.0,224700.29657542257,0.2198,4,75
0.0100000000000000002,3641400,3132.0,3273.350662589185,0.0000,5,1
0.0100000000000000002,3654720,112244.0,111220.04896771655,0.1856,6,37
0.0100000000000000002,3668400,115268.0,114235.37050372534,0.2222,7,38
0.0100000000000000002,3683160,124532.0,123409.2191971425,0.2236,8,41
0.0100000000000000002,3698280,127757.0,126523.46054473046,0.2051,9,42
0.0100000000000000002,3707280,75994.0,75344.08857403284,0.2077,10,25
0.0100000000000000002,3723840,140048.0,138727.8021456504,0.2127,11,46
0.0100000000000000002,3741120,146115.0,144841.47035130733,0.2257,12,48
0.0200000000000000004,3600360,2554.0,2865.4580567298103,0.0000,1,1
0.0200000000000000004,3600720,3151.0,3349.265634446864,0.0000,2,1
0.0200000000000000004,3601080,3245.0,3248.4678874264537,0.0000,3,1
